nombre,atc,estado,fecha_seguimiento,listado
BETAMETASONA SUSPENSION INYECTABLE (5 mg + 2 mg)/ 1 ml; (6 mg + 6 mg)/ 2 ml; (3 mg + 3 mg)/ 1 ml,H02AB01,monitorizacion,2026-03-31,activo
"BETAMETILDIGOXINA SOLUCION INYECTABLE 0,2 mg /1 ml y 0.2 mg/2 ml",C01AA08,monitorizacion,2026-02-26,activo
BICARBONATO DE SODIO SOLUCIÓN INYECTABLE 1 meq/ml,B05XA02,monitorizacion,2026-02-27,activo
"BISOPROLOL TABLETA 2.5mg, 5 mg y 10 mg",C07AB07,monitorizacion,2026-04-30,activo
BRIVARACETAM SOLUCIÓN ORAL 10 mg/ml,N03AX23,monitorizacion,2026-04-30,activo
"BRIVARACETAM TABLETA 10 mg, 50 mg y 100 mg",N03AX23,monitorizacion,2026-04-20,activo
BUCLIZINA CLORHIDRATO JARABE 100 mg,R06AE01,monitorizacion,2025-11-28,activo
BUDESONIDA SOLUCIÓN PARA INHALACIÓN 1mg - 4mg,R03BA02,monitorizacion,2026-02-27,activo
BUDESONIDA+FORMOTEROL SUSPENSIÓN PARA INHALACIÓN 0.09 mg + 3.2 mg - 4.5 mcg + 160 mcg - 4.5 mcg + 80 mcg - 100 mcg + 6 mcg,R03AK07,monitorizacion,2026-02-27,activo
"BUPIVACAINA CLORHIDRATO SOLUCIÓN INYECTABLE (0,25%) 2.5 mg/mL, (0,5%) 5 mg/mL, (0,75%) 7,5 mg/mL y (4%) 40 mg/mL",N01BB01,monitorizacion,2025-08-29,activo
BUPIVACAINA + DEXTROSA SOLUCIÓN INYECTABLE (5 mg + 80 mg)/mL,N01BB01,monitorizacion,2025-12-19,activo
BUPIVACAINA + EPINEFRINA SOLUCIÓN INYECTABLE (5 mg + 5 μg) / ml,N01BB53,monitorizacion,2025-12-19,activo
"CANDESARTAN CILEXETIL TABLETA 8mg, 16 mg y 32 mg",C09CA06,monitorizacion,2026-05-29,activo
CANDESARTAN CILEXETIL + HIDROCLOROTIAZIDA TABLETA 16.0 mg + 12.5 mg,C09DA06,riesgo,2026-04-30,activo
CARBAMAZEPINA TABLETA DE LIBERACION PROLONGADA 200 mg,N03AF01,monitorizacion,2026-05-29,activo
CARBAMAZEPINA TABLETA DE LIBERACION PROLONGADA 400 mg,N03AF01,monitorizacion,2026-05-29,activo
"CARBIDOPA + LEVODOPA + ENTACAPONA TABLETA 50+ 12,5+ 200 mg, 100 + 25 + 200 mg, 200 mg + 50 mg + 200 mg y 150 + 37,5 + 200 mg",N04BA03,monitorizacion,2026-02-27,activo
CARBIDOPA + LEVODOPA TABLETA 25 mg + 100 mg y 25 mg + 250 mg,N04BA02,monitorizacion,2026-02-27,activo
CARBONATO DE CALCIO TABLETA 600 mg,A12AA04,monitorizacion,2026-05-29,activo
CARBONATO DE LITIO TABLETA 300 mg,N05AN01,monitorizacion,2026-02-24,activo
CARBOXIMETILCELULOSA SODICA + GLICERINA SOLUCION OFTALMICA,S01XA20,monitorizacion,2025-09-29,activo
CARBOXIMETILCELULOSA SODICA + HIALURONATO DE SODIO + GLICERINA SOLUCION OFTALMICA,S01XA20,monitorizacion,2025-09-26,activo
CARVEDILOL TABLETA 6.25 mg,C07AG02,monitorizacion,2026-04-30,activo
CARVEDILOL TABLETA 12.5 mg,C07AG02,monitorizacion,2026-04-30,activo
CARVEDILOL TABLETA 25 mg,C07AG02,monitorizacion,2026-04-30,activo
"CEFADROXILO POLVO PARA RECONSTITUIR A SUSPENSION ORAL 125 mg / 5 ml, 250 mg / 5 ml, 500 mg / 5 ml",J01DB05,monitorizacion,2025-08-29,activo
CEFADROXILO TABLETA DE LIBERACION PROLONGADA 1000 mg,J01DB05,monitorizacion,2025-08-28,activo
CEFADROXILO CAPSULA DURA 500 mg y 1000 mg,J01DB05,monitorizacion,2025-08-29,activo
CEFUROXIMA POLVO PARA RECONSTITUIR EN SOLUCIÓN INYECTABLE 750 mg / vial,J01DC02,monitorizacion,2025-09-18,activo
CEFUROXIMA TABLETA 250 mg y 500 mg,J01DC02,monitorizacion,2025-09-23,activo
CICLOBENZAPRINA CLORHIDRATO TABLETA 5 mg,M03BX08,monitorizacion,2025-12-19,activo
