nombre,atc,estado,fecha_seguimiento,listado
INDOMETACINA CÁPSULA BLANDA Y TABLETA 25 mg,M01AB01,monitorizacion,2025-08-29,activo
INMUNOGLOBULINA ANTID - RH POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 300 mcg,J06BB01,monitorizacion,2025-11-28,activo
"INMUNOGLOBULINA HUMANA NORMAL SOLUCIÓN INYECTABLE 100 mg/ml, 160 mg/ml, 165 mg/ml y 200 mg/ml",J06BA01,monitorizacion,2025-08-08,activo
INMUNOGLOBULINA HUMANA NORMAL SOLUCIÓN INYECTABLE 5% (50 mg/ml = 5 g/ 100 ml),J06BA02,monitorizacion,2025-09-22,activo
INDOMETACINA CAPSULA BLANDA 25 mg,M01AB01,monitorizacion,2025-09-15,activo
INSULINA HUMANA ISOFANA (NPH) SUSPENSIÓN INYECTABLE 100 UI/ml,A10AE01,monitorizacion,2025-09-30,activo
INSULINA HUMANA REGULAR (RAPIDA) SOLUCIÓN INYECTABLE 100 UI/ml,A10AE01,monitorizacion,2026-04-30,activo
INSULINA DEGLUDEC SOLUCIÓN INYECTABLE 100 UI/ml,A10AE06,monitorizacion,2025-07-24,activo
INSULINA LISPRO SOLUCIÓN INYECTABLE 100UI/ml,A10AD04,monitorizacion,2026-03-27,activo
INTERFERÓN HUMANO RECOMBINANTE GAMMA-1-B SOLUCIÓN INYECTABLE Equivalente a 2.000.000 U.I.,L03AB03,monitorizacion,2024-07-31,activo
"IOVERSOL SOLUCIÓN INYECTABLE 300 mg/ml, 320 mg/ml y 350 mg/ml",V08AB07,desabastecido,2026-04-30,activo
"ISOPROTERENOL SOLUCIÓN INYECTABLE 0,2 mg/ml",C01CA31,monitorizacion,2025-12-18,activo
ISOTRETINOINA CAPSULA BLANDA 10 mg y 20 mg,D10BA01,monitorizacion,2025-09-30,activo
"L/R- ASPARAGINASA (Aislada De E Coli, Erwinia Carotovora o Erwinia Chrysanthemi) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 10.000 UI / Vial (10 mL)",L01XX02,monitorizacion,2026-05-29,activo
L/R - ASPARAGINASA PEGILADA / PEGASPARGASA SOLUCION INYECTABLE 750 UI / ml,L01XX24,monitorizacion,2026-05-29,activo
LACOSAMIDA SOLUCION ORAL 10 mg / ml,N03AX18,monitorizacion,2026-04-24,activo
LACOSAMIDA SOLUCION INYECTABLE 200 mg / 20 ml,N03AX18,monitorizacion,2026-02-24,activo
LAMIVUDINA SOLUCIÓN ORAL 10 mg/ml,C01CA31,monitorizacion,2026-04-30,activo
LAMIVUDINA TABLETA 150 mg,J05AF05,monitorizacion,2026-02-26,activo
LAMIVUDINA + ABACAVIR TABLETA 300 mg + 600 mg,J05AR04,monitorizacion,2026-04-30,activo
LAMIVUDINA + ABACAVIR + DOLUTEGRAVIR TABLETA 300 mg + 600 mg + 50 mg,J05AR13,monitorizacion,2026-05-29,activo
LAMIVUDINA + ZIDOVUDINA TABLETA 150 mg + 300 mg,J05AR01,monitorizacion,2026-02-27,activo
LAMIVUDINA+TENOFOVIR+ EFAVIRENZ TABLETA 300 mg + 300 mg + 600 mg,J05AR11,monitorizacion,2026-04-30,activo
LAMIVUDINA+TENOFOVIR+ EFAVIRENZ TABLETA 300 mg + 300 mg + 400 mg,J05AR11,desabastecido,2026-04-30,activo
"LAMOTRIGINA TABLETA y TABLETA DISPERSABLE 5 mg , 25 mg, 50 mg, 100 mg y 200 mg",N03AX09,monitorizacion,2026-04-30,activo
LEFLUNOMIDA CAPSULA BLANDA 20 mg y 100 mg,L04AA13,monitorizacion,2025-09-29,activo
LEFLUNOMIDA TABLETA 20 mg,L04AA13,monitorizacion,2025-10-01,activo
LETROZOL TABLETA 2.5 mg,L02BG04,monitorizacion,2025-09-22,activo
LEVETIRACETAM SOLUCIÓN INYECTABLE/INFUSIÓN 100 mg/ml y 500 mg/ 5 ml,N03AX14,monitorizacion,2026-04-30,activo
LEVETIRACETAM SOLUCIÓN ORAL 100 mg/ml,N03AX14,monitorizacion,2026-04-30,activo
LEVETIRACETAM TABLETA 500 mg y 1000 mg,N03AX14,monitorizacion,2026-04-30,activo
LEVOFLOXACINA SOLUCIÓN INYECTABLE 500 mg/100 ml,J01MA12,riesgo,2026-03-09,activo
LEVOMEPROMAZINA SOLUCIÓN ORAL 4%,N05AA02,monitorizacion,2026-03-24,activo
LEVOMEPROMAZINA TABLETA 25 mg y 100 mg,N05AA02,monitorizacion,2026-03-24,activo
LEVOSULPIRIDA TABLETA,N05AL07,monitorizacion,2026-05-29,activo
LEVOSULPIRIDA + PANCREATINA + SIMETICONA CÁPSULA DURA,A03FA01,monitorizacion,2026-05-29,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 25 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 50 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SÓDICA CÁPSULA DURA Y TABLETA 75 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 88 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 100 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 112 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 125 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA CÁPSULA DURA Y TABLETA 150 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SODICA CÁPSULA DURA Y TABLETA 175 mcg,H03AA01,monitorizacion,2026-04-30,activo
LEVOTIROXINA SÓDICA CÁPSULA DURA Y TABLETA 200 mcg,H03AA01,monitorizacion,2026-04-30,activo
LIDOCAÍNA PARCHE 700 mg,N01BB02,monitorizacion,2025-05-30,activo
"LIDOCAÍNA SOLUCIÓN INYECTABLE 1% y 2% (por 10 ml, 20 ml y 50 ml)",N01BB02,monitorizacion,2024-08-29,activo
"LIDOCAÍNA+EPINEFRINA 2% SOLUCIÓN INYECTABLE (200 mg + 50 mg) / 10 ml, (20 mg + 5 mg / ml, (20 mg + 0,0125 mg) / ml, (20 mg + 0,02 mg) / ml, (20mg + 0,01 mg)/ ml",N01BB52,monitorizacion,2024-03-22,activo
LINAGLIPTINA + METFORMINA TABLETA 2.5 mg + 850 mg y 2.5 mg + 1000 mg,A10BD11,monitorizacion,2025-07-31,activo
LINEZOLID SOLUCION INYECTABLE 2 mg/ml,J01XX08,monitorizacion,2026-05-29,activo
"LISDEXANFETAMINA DIMESILATO CÁPSULA DURA 30 mg, 50 mg y 70 mg",N06BA12,monitorizacion,2026-03-31,activo
LOPINAVIR + RITONAVIR CÁPSULA DURA Y TABLETA 200 mg + 50 mg y 100 mg + 25 mg,J05AR10,monitorizacion,2025-07-31,activo
"LORATADINA JARABE / SOLUCIÓN ORAL 1 mg/mL (0,1%)",R06AX13,monitorizacion,2025-07-31,activo
LOSARTAN TABLETA 50 mg,C09CA01,monitorizacion,2026-04-30,activo
LOSARTAN TABLETA 100 mg,C09CA01,monitorizacion,2026-04-30,activo
MARAVIROC TABLETA 300 mg,J05AX09,monitorizacion,2025-07-31,activo
MEDROXIPROGESTERONA + CIPIONATO DE ESTRADIOL SOLUCIÓN INYECTABLE 50 mg/ml + 10 mg/ml,G03AA17,monitorizacion,2025-07-31,activo
MEGLUMINA ANTIMONIATO SOLUCION INYECTABLE 1.5 g / 5 ml,P01CB01,monitorizacion,2025-10-31,activo
MELATONINA TABLETA DE LIBERACION PROLONGADA 2 mg,N05CH01,monitorizacion,2025-08-29,activo
MEMANTINA CLORHIDRATO TABLETA 20 mg,N06DX01,monitorizacion,2025-07-25,activo
METADONA TABLETA 10 mg y 40 mg,N02AA05,monitorizacion,2026-03-31,activo
METILDOPA TABLETA 250 mg,C02AB01,monitorizacion,2025-12-04,activo
"METILERGOMETRINA SOLUCIÓN INYECTABLE 0,2 mg / 1 ml (Vial) METILERGOMETRINA TABLETA 0,2 mg",G02AB01,desabastecido,2026-04-30,activo
METILFENIDATO CLORHIDRATO TABLETA DE LIBERACION PROLONGADA 8 mg y 16 mg,N06BA04,monitorizacion,2026-04-30,activo
METILFENIDATO CLORHIDRATO TABLETA 10 mg,N06BA04,monitorizacion,2026-04-30,activo
"METFORMINA TABLETA 500 mg, 850 mg y 1000 mg",A10BA02,monitorizacion,2026-03-01,activo
"METFORMINA TABLETA DE LIBERACION PROLONGADA 500 mg, 750 mg y 1000 mg",A10BA02,monitorizacion,2026-03-01,activo
METILPREDNISOLONA POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 500 mg / vial por 4 ml u 8 ml,H02AB04,monitorizacion,2025-09-18,activo
METOCARBAMOL TABLETA 750 mg,M03BA03,monitorizacion,2025-07-31,activo
"METOPROLOL SUCCINATO TABLETAS DE LIBERACIÓN PROLONGADA 25 mg, 50 mg, 100 mg y 200 mg",C07AB02,monitorizacion,2025-07-31,activo
METOPROLOL TARTRATO TABLETA 50 mg y 100 mg,C07AB02,monitorizacion,2025-07-30,activo
METRONIDAZOL SUSPENSIÓN ORAL 125 mg/ 5 ml y 250 mg/ 5 mg,P01AB01,monitorizacion,2025-07-31,activo
"METOTREXATO / METOTREXATE TABLETA 2,5 mg",L01BA01,monitorizacion,2026-03-26,activo
METOTREXATO / METOTREXATE SOLUCIÓN INYECTABLE 25 mg/ 1 ml = 50 mg/ 2 ml 100 mg / ml = 500 mg/ 5 ml 1000 mg / 10 ml = 100 mg / 1 ml,L01BA01,monitorizacion,2026-03-26,activo
MICOFENOLATO EQUIVALENTE A ACIDO MICOFENÓLICO TABLETA 180 mg,L04AA06,monitorizacion,2025-05-30,activo
MICOFENOLATO DE MOFETILO EQUIVALENTE A ACIDO MICOFENÓLICO TABLETA 500 mg,L04AA06,monitorizacion,2026-01-21,activo
MICOFENOLATO DE MOFETILO EQUIVALENTE A ACIDO MICOFENÓLICO CAPSULA DURA 250 mg,L04AA06,monitorizacion,2026-01-20,activo
MICOFENOLATO SÓDICO EQUIVALENTE A ACIDO MICOFENÓLICO TABLETA 360 mg,L04AA06,monitorizacion,2026-01-30,activo
MICOFENOLATO DE MOFETILO EQUIVALENTE A ACIDO MICOFENÓLICO SUSPENSION ORAL 200 mg / ml,L04AA06,monitorizacion,2026-01-30,activo
MIDAZOLAM SOLUCIÓN INYECTABLE 5 mg/ml,N05CD08,monitorizacion,2025-05-30,activo
MIDAZOLAM SOLUCIÓN INYECTABLE 1 mg /ml,N05CD08,monitorizacion,2025-05-30,activo
MINOXIDIL TABLETA 10 mg,C02DC01,monitorizacion,2025-07-25,activo
MIRTAZAPINA TABLETA 15 mg y 30 mg,N06AX11,monitorizacion,2026-05-29,activo
MISOPROSTOL TABLETA VAGINAL 50 mcg y 200 mcg,G02AD06,monitorizacion,2025-07-30,activo
MITOMICINA C POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 20 mg,L01DC03,monitorizacion,2026-03-31,activo
MONTELUKAST CÁPSULA BLANDA 10 mg,R03DC03,monitorizacion,2026-03-31,activo
"MONTELUKAST TABLETA 4 mg, 5 mg y 10 mg",R03DC03,monitorizacion,2026-02-27,activo
MORFINA CLORHIDRATO SOLUCION INYECTABLE 10 mg/ml (1%),N02AA01,monitorizacion,2026-04-24,activo
MOXIFLOXACINA CLORHIDRATO SOLUCIÓN OFTÁLMICA 5 mg/ml,S01AE07,monitorizacion,2026-01-30,activo
MOXIFLOXACINA + DEXAMETASONA SOLUCIÓN OFTÁLMICA (5 mg + 1 mg)/ml (0.5% + 0.1%),S01CA01,monitorizacion,2024-07-31,activo
N-ACETILCISTEINA SOLUCIÓN INYECTABLE 300 mg/ 3 ml,V03AB23,monitorizacion,2026-02-27,activo
NAFAZOLINA CLORHIDRATO SOLUCION OFTALMICA 1 mg / envase,S01GA01,monitorizacion,2026-01-30,activo
NAPROXENO TABLETA 250 mg y 500 mg,M01AE02,monitorizacion,2024-12-23,activo
"NEOMICINA SULFATO EQUIVALENTE A NEOMICINA BASE 3.50000 mg + POLIMIXINA B SULFATO (0,82 MG) EQUIVALENTE A POLIMIXINA B 6600.00000 UI + DEXAMETASONA SODIO FOSFATO (1,3158 MG) EQUIVALENTE A DEXAMETASONA BASE 1.00000 mg SOLUCIÓN OFLTALMICA",S01CA01,monitorizacion,2026-01-30,activo
NEOMICINA 0.35000 g + DEXAMETASONA BASE 0.10000 g + POLIMIXINA B SULFATO 600000.00000 UI UNGUENTO OFTALMICO,S01CA01,monitorizacion,2026-01-30,activo
"NIFEDIPINO CÁPSULA BLANDA, CÁPSULA DURA Y TABLETA 5 mg, 10 mg, 20 mg",C08CA05,desabastecido,2026-04-30,activo
NIFEDIPINO CÁPSULA DE LIBERACIÓN PROLONGADA 30 mg,C08CA05,monitorizacion,2026-05-29,activo
NIFEDIPINO TABLETA DE LIBERACIÓN PROLONGADA 30 mg y 60 mg,C08CA05,monitorizacion,2026-05-29,activo
"NITROGLICERINA SOLUCIÓN INYECTABLE 0.1, 0.2, 0.4 y 0.8 mg / mL",C01DA02,monitorizacion,2025-08-29,activo
NORADRENALINA / NOREPINEFRINA SOLUCIÓN INYECTABLE 4 mg/ 4 mL,C01CA03,monitorizacion,2026-01-23,activo
MULTIVITAMINAS PARENTERALES,B05BA10,monitorizacion,2025-11-14,activo
"NUTRICIONES PARENTERALES (COMBINACIONES) EMULSIÓN, POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE Y SOLUCIÓN INYECTABLE",B05BA10,monitorizacion,2025-11-22,activo
OLANZAPINA TABLETA 5 mg,N05AH03,monitorizacion,2026-04-30,activo
OLANZAPINA TABLETA 10 mg,N05AH03,monitorizacion,2026-04-30,activo
OLANZAPINA POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 10 mg / 5 ml,N05AH03,desabastecido,2026-04-30,activo
OLMESARTAN MEDOXOMILO + AMLODIPINO TABLETA 10 mg + 40 mg; 20 mg + 10 mg; 40 mg + 5 mg,C09DB02,monitorizacion,2025-04-30,activo
OLOPATADINA SOLUCIÓN OFTÁLMICA 12mg/6mL - 6mg/3mL - 35mg/5mL,S01GX09,monitorizacion,2026-01-30,activo
OMALIZUMAB SOLUCION INYECTABLE 75 mg/ml y 150 mg/ml,R03DX05,monitorizacion,2025-03-31,activo
OMEGA-3-TRIGLICERIDOS TABLETA 1000 mg y 1200 mg,C10AX06,monitorizacion,2025-06-30,activo
"OMEPRAZOL CAPSULA DURA 10 mg , 20 mg y 40 mg",A02BC01,monitorizacion,2025-04-02,activo
ONDANSETRON SOLUCIÓN INYECTABLE 2 mg/ml,A04AA01,monitorizacion,2026-03-31,activo
OSILODROSTAT TABLETA 1 mg y 5 mg,H02CA02,monitorizacion,2024-10-31,activo
OXCARBAZEPINA TABLETA 300 mg y 600 mg,N03AF02,monitorizacion,2026-05-29,activo
OXIBUTININA CLORURO TABLETA 5 mg,G04BD04,monitorizacion,2025-05-30,activo
OXICODONA TABLETA DE LIBERACIÓN PROLONGADA 10 mg,N02AA05,monitorizacion,2025-08-29,activo
OXICODONA SOLUCIÓN INYECTABLE 10 mg/mL,N02AA05,monitorizacion,2024-07-31,activo
ÓXIDO NITRICO GAS 0.08000 %V/V,R07AX01,monitorizacion,2025-07-31,activo
OXITOCINA SOLUCIÓN INYECTABLE 10 UI/ml,H01BB02,monitorizacion,2026-04-30,activo
PAMOATO DE PIRANTEL SUSPENSIÓN ORAL 250 mg/ 5 ml,P02CC01,monitorizacion,2026-04-30,activo
PANCREATINA AMILASA + LIPASA + PROTEASAS TOTALES CÁPSULA DURA 18000 UI + 25000 UI + 1000 UI 8000 UI + 10000 UI + 600 UI,A09AA02,monitorizacion,2024-05-28,activo
PARACETAMOL / ACETAMINOFEN SOLUCIÓN ORAL 3 g/vial y 3.2 g/vial,N02BE01,monitorizacion,2026-05-29,activo
PARACETAMOL / ACETAMINOFEN SOLUCIÓN INYECTABLE PARA INFUSION 1 g / 100 ml,N02BE01,monitorizacion,2026-04-30,activo
PARACETAMOL / ACETAMINOFÉN TABLETA 100 mg y 500 mg,N02BE01,monitorizacion,2025-02-28,activo
"PEMETREXED POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 100 mg/vial, 500 mg/vial y 713 mg/vial",L01BA04,monitorizacion,2025-09-23,activo
PENICILINA V POTÁSICA EQUIVALENTE A PENICILINA V (FENOXIMETILPENICILINA POTÁSICA EQUIVALENTES A FENOXIMETILPENICILINA) POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL 500 mg/ 100 ml,J01CE02,monitorizacion,2026-03-26,activo
PENICILINA V POTÁSICA EQUIVALENTE A PENICILINA V (FENOXIMETILPENICILINA POTÁSICA EQUIVALENTES A FENOXIMETILPENICILINA) TABLETA 500 mg,J01CE02,monitorizacion,2026-03-26,activo
PENICILINA G BENZATINICA POLVO ESTERIL PARA RECONSTITUIR A SUSPENSION INYECTABLE 1.2 y 2.4 millones de UI / vial,J01CE08,monitorizacion,2025-08-29,activo
"PIPERACILINA + TAZOBACTAM POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE (4 g + 0,5 g)/ vial",J01CR05,monitorizacion,2025-10-31,activo
PIPOTIAZINA SOLUCIÓN INYECTABLE 25 mg/ml,N05AC04,monitorizacion,2026-04-20,activo
PIRIMETAMINA + SULFADOXIMA TABLETA 25 mg + 500 mg,P05BD51,monitorizacion,2025-08-29,activo
PIRITINOL TABLETA 200 mg y 600 mg,N06BX02,monitorizacion,2026-04-24,activo
POLIDOCANOL SOLUCION INYECTABLE 1%,C05BB02,riesgo,2026-05-29,activo
POLIDOCANOL SOLUCION INYECTABLE 3%,C05BB02,monitorizacion,2026-05-29,activo
"POLIESTIRENO SULFONATO CÁLCICO POLVO PARA RECONSTITUIR A SUSPENSION ORAL 99,75 g / 100 g",V03AE01,monitorizacion,2026-02-27,activo
"POLIETILENGLICOL + PROPILENGLICOL SOLUCION OFTALMICA 0,4% + 0,3% (0,4 g + 0,3 g / 100 mL)",S01XA20,monitorizacion,2025-11-28,activo
PREDNISOLONA SUSPENSIÓN OFTÁLMICA 1.2 mg/ml (0.12%),S01BA04,monitorizacion,2024-07-31,activo
PREGABALINA SOLUCIÓN ORAL 2 g / vial,N03AX16,riesgo,2026-04-30,activo
"PREGABALINA CÁPSULA DURA Y TABLETA DE LIBERACIÓN PROLONGADA 25 mg, 50 mg, 75 mg, 150 mg y 300 mg",N03AX16,monitorizacion,2026-04-30,activo
PROGESTERONA CÁPSULA BLANDA 100 mg y 200 mg,G03DA04,monitorizacion,2025-02-28,activo
PROPOFOL EMULSIÓN INYECTABLE 10 mg/ml (1%),N01AX10,monitorizacion,2026-04-30,activo
PROPRANOLOL TABLETA 40 mg,C07AA05,monitorizacion,2025-02-28,activo
"QUETIAPINA TABLETA 25 mg, 100 mg, 200 mg y 300 mg",N05AH04,monitorizacion,2026-03-20,activo
"QUETIAPINA TABLETA DE LIBERACIÓN PROLONGADA 50 mg, 150 mg, 200 mg y 300 mg",N05AH04,monitorizacion,2026-04-28,activo
QUETIAPINA TABLETA DE LIBERACIÓN PROLONGADA 400 mg,N05AH04,desabastecido,2026-04-30,activo
RALTEGRAVIR TABLETA MASTICABLE 25 mg y 100 mg TABLETA 400 mg y 600 mg,J05AX08,monitorizacion,2026-04-30,activo
RAMIPRIL CAPSULA DURA 5 mg,C09AA05,monitorizacion,2025-09-30,activo
REMIFENTANILO POLVO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 2 mg/ml,N01AH06,monitorizacion,2026-05-29,activo
"RISPERIDONA TABLETA 1 mg, 2 mg y 3 mg",N05AX08,monitorizacion,2026-04-30,activo
RISPERIDONA SOLUCION ORAL 1 mg/ mL,N05AX08,monitorizacion,2026-04-30,activo
RITONAVIR TABLETA 100 mg,J05AE03,monitorizacion,2026-04-30,activo
"RIVAROXABAN TABLETA 2.5 mg, 10 mg, 15 mg y 20 mg",B01AF01,monitorizacion,2025-09-30,activo
"RIVASTIGMINA PARCHE TRANSDÉRMICO CON UNA LIBERACION NOMINAL DE 4,6 mg /24 horas, 9,5 mg / 24 horas y 13,3 mg / 24 horas",N06DA03,monitorizacion,2025-06-30,activo
ROCURONIO BROMURO SOLUCION INYECTABLE 10 mg/ml y 10 mg/10 ml,M03AC09,monitorizacion,2026-04-30,activo
ROSUVASTATINA + FENOFIBRATO CÁPSULA DURA 10 mg +135 mg,C10BA06,monitorizacion,2026-01-30,activo
SALBUTAMOL SOLUCIÓN PARA NEBULIZACIÓN 0.24 %,R03CC02,monitorizacion,2025-03-31,activo
"SALBUTAMOL POLVO PARA INHALACIÓN SUSPENSIÓN PARA INHALACIÓN 50 mcg, 100 mcg, 200 mcg, 400 mcg y 500 mcg",R03CC02,monitorizacion,2025-05-30,activo
SALBUTAMOL JARABE 40 mg / envase,R03CC02,monitorizacion,2025-03-31,activo
SALES DE REHIDRATACIÓN (CLORURO DE SODIO + CLORURO DE POTASIO + CITRATO TRISÓDICO DIHIDRATO + DEXTROSA ANHIDRA POLVO PARA RECONSTITUIR A SOLUCION ORAL (2.6 g + 2.9 g + 1.5 g + 13.5 g),A07CA99,monitorizacion,2026-03-26,activo
"SERTRALINA TABLETA 25 mg, 50 mg y 100 mg",N06AB06,monitorizacion,2026-01-27,activo
SILIMARINA TABLETA 150 mg,A05BA03,monitorizacion,2025-10-01,activo
SITAGLIPTINA + METFORMINA TABLETA 50 mg + 850 mg; 50 mg + 1000 mg; 100 mg + 1000 mg,A10BD07,monitorizacion,2025-10-02,activo
"SOMATROPINA SOLUCION INYECTABLE 20 mg/2,5 ml (8 mg/ml)",H01AC01,monitorizacion,2026-03-27,activo
"SOMATROPINA SOLUCION INYECTABLE 6 mg/1,03 ml (5,83 mg/ml)",H01AC01,monitorizacion,2026-03-27,activo
SUERO ANTIOFÍDICO POLIVALENTE (INMUNOGLOBULINAS ESPECIFICAS NEUTRALIZANTES DEL VENENO DEL GENERO CROTALUS (MINIMO) + INMUNOGLOBULINAS ESPECIFICAS NEUTRALIZANTES DEL VENENO DEL GENERO BOTHROPS) SOLUCIÓN INYECTABLE (100 mg + 700 mg) / 100 mL,J06AA03,monitorizacion,2026-05-29,activo
"SULFATO DE BARIO POLVO PARA RECONSTRUIR A SUSPENSIÓN ORAL 8(8.62720 g + 9.82580 g, 96.30960 g + 4.92240 g) / vial",V08BA01,monitorizacion,2026-03-31,activo
SULFATO DE ZINC SOLUCIÓN ORAL 10 mg / envase,A12CB01,monitorizacion,2026-04-30,activo
SULTAMICILINA TABLETA 375 mg,J01CR04,monitorizacion,2025-03-31,activo
SULTAMICILINA POLVO PARA RECONSTITUIR A SUSPENSION ORAL 5 g / vial,J01CR04,monitorizacion,2025-03-31,activo
SULTAMICILINA TABLETA 750 mg,J01CR04,monitorizacion,2025-04-01,activo
SUMATRIPTÁN + NAPROXENO TABLETA 85 mg + 500 mg,N02CC01,monitorizacion,2026-02-27,activo
SUCCINILCOLINA CLORURO SOLUCION INYECTABLE 100 mg/vial,M03AB01,monitorizacion,2025-07-31,activo
TACROLIMUS CAPSULA DURA 1 mg y 5 mg,L04AD02,monitorizacion,2025-12-16,activo
"TACROLIMUS CAPSULA DE LIBERACION PROLONGADA 0,5 mg, 1 mg, 3 mg y 5 mg",L04AD02,monitorizacion,2025-12-16,activo
"TACROLIMUS UNGUENTO TOPICO 0,03% y 0,1%",D11AH01,monitorizacion,2025-10-30,activo
"TADALAFILO TABLETA 5 mg, 10 mg y 20 mg",G04BE08,monitorizacion,2026-05-29,activo
TALIDOMIDA TABLETA 100 mg,L04AX02,monitorizacion,2026-02-27,activo
"TEMOZOLOMIDA CÁPSULA DURA 20 mg, 100 mg, 140 mg y 250 mg",L01AX03,monitorizacion,2026-05-29,activo
TERLIPRESINA SOLUCION INYECTABLE 1 mg / 5 ml,H01BA04,monitorizacion,2025-08-29,activo
TENOFOVIR DISOPROXIL FUMARATO TABLETA 300 mg,J05AF07,monitorizacion,2026-05-29,activo
TERBUTALINA SULFATO 10 mg SOLUCION PARA NEBULIZACION TERBUTALINA SULFATO 0.50 mg SOLUCION INYECTABLE TERBUTALINA SULFATO 2.5 mg TABLETA TERBUTALINA SULFATO 30 mg JARABE,R03AC03,monitorizacion,2025-05-30,activo
TERIFLUNOMIDA TABLETA 14 mg,L04AA31,monitorizacion,2025-11-14,activo
TERIPARATIDA SOLUCION INYECTABLE 250 mcg/ml JERINGA PRELLENA POR 0.08 ml,H05AA02,monitorizacion,2026-03-31,activo
TIMOLOL + TAVOPROST SOLUCIÓN OFTÁLMICA (5 mg + 0.04 mg) / envase,S01ED51,monitorizacion,2026-02-27,activo
TIMOLOL + BIMATOPROST + BIMONIDRINA TARTRATO SOLUCION OFTALMICA (1.50000 mg+ 6.83000 mg + 0.10000 mg)/ ml,S01ED51,monitorizacion,2025-05-30,activo
"TOBRAMICINA SOLUCION OFTALMICA 0,3 g / 100 mL (0,3%)",S01AA12,monitorizacion,2026-01-30,activo
"TIOSULFATO DE SODIO / HIPOSULFITO DE SODIO SOLUCIÓN INYECTABLE 40 mg / mL, 200 mg/ mL, 2,5 g / 10 mL y 5 g / 10 ml",V03AB06,monitorizacion,2025-08-29,activo
TOLTERIDONA CÁPSULA DE LIBERACIÓN PROLONGADA 4 mg,G04BD07,monitorizacion,2025-08-29,activo
TRAMADOL TABLETA 100 mg y 200 mg,N02AX02,monitorizacion,2026-05-29,activo
TRAZODONA TABLETA 100 mg,N06AX05,monitorizacion,2026-01-30,activo
"TRIAMCINOLONA SUSPENSION INYECTABLE 10 mg, 20 mg y 40 mg",H02AB08,desabastecido,2026-05-29,activo
TRIMEBUTINA POLVO PARA RECONSTITUIR A SUSPENSION ORAL (EQUIVALENTES A TRIMEBUTINA (200 mg/15 ml) 1.333 mg/ml,A03AA05,monitorizacion,2025-10-31,activo
TRIMEBUTINA BASE 4.32% POLVO PARA RECONSTITUIR A SUSPENSION ORAL 300 mg / ml,A03AA05,monitorizacion,2025-10-31,activo
VALGANCICLOVIR POLVO PARA RECONSTITUIR A SOLUCION ORAL 5 g/ 100 ml,J05AB14,monitorizacion,2026-01-26,activo
VALSARTAN CAPSULA DURA 80 mg y 160 mg,C09CA03,monitorizacion,2026-05-29,activo
"VALSARTAN + AMLODIPINO TABLETA 80 mg + 2.5 mg, 80 mg + 5 mg y 160 mg + 2.5 mg",C09DB01,monitorizacion,2026-04-30,activo
"VALSARTAN + AMLODIPINO TABLETA 160 mg + 5 mg, 160 mg + 10 mg, 320 mg + 5 mg y 320 mg + 10 mg",C09DB01,monitorizacion,2026-04-30,activo
VALSARTÁN + HIDROCLOROTIAZIDA TABLETA 80 mg + 12.5 mg,C09DA03,monitorizacion,2026-03-31,activo
VALSARTAN + HIDROCLOROTIAZIDA + AMLODIPINO TABLETA 160 mg + 12.5 mg + 10 mg; 320 mg + 25 mg + 10 mg; 160 mg + 12.5 mg + 5 mg,C09DX01,monitorizacion,2025-07-31,activo
VANCOMICINA POLVO ESTÈRIL PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 1000 mg / vial,J01XA01,monitorizacion,2025-05-30,activo
VANCOMICINA CÁPSULA DURA 125 mg y 250 mg,J01XA01,monitorizacion,2025-05-30,activo
VASOPRESINA SOLUCION INYECTABLE 20 UI/ml,H01BA01,monitorizacion,2025-08-30,activo
