"Id","CodigoATC","PrincipioActivo","RankingBusqueda","Resumen","FormaFarmaceutica","Aclaracion","ITEM","PrincipioActivo_Min","FormaFarmaceutica_Min","CoberturaPlanBeneficiosUPC","CoberturaPlanBeneficiosUPC_Min"
"11802","A03DC","PROPINOX","1840","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","845","propinox","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11803","N01AX10","PROPOFOL","1870","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","846","propofol","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11804","C07AA","PROPRANOLOL","2190","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC C07AA - agentes beta bloqueantes no selectivos","1076","propranolol","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11805","V03AB14","PROTAMINA","1090","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","847","protamina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11806","A06AX05","PRUCALOPRIDA","1210","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","848","prucaloprida","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11807","N05AH04","QUETIAPINA","10150","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","849","quetiapina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11808","G02CB04","QUINAGOLIDA","650","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","quinagolida","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"11809","C09AA","QUINAPRIL","980","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC C09AA - inhibidores de la ECA, monofármacos","1080","quinapril","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11810","C09BA","QUINAPRIL + HIDROCLOROTIAZIDA","8660","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC C09BA - inhibidores de la ECA y diuréticos","1081","quinapril + hidroclorotiazida","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11811","P01AX99","QUINFAMIDA","630","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","quinfamida","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"11812","P01BC01","QUININA","760","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado con recursos de Salud pública en programas especiales de salud pública.","SP27","quinina","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11813","A02BC","RABEPRAZOL","1270","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC A02BC - inhibidores de bomba de protones, monofármacos (no se cubren combinaciones con medicamentos no financiados con recursos de la UPC)","1057","rabeprazol","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11814","A07XA04","RACECADOTRILO","620","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","850","racecadotrilo","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11815","R03AA01","RACEPINEFRINA","1800","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","851","racepinefrina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11816","V10XX03","RADIO RA 223 CLORURO","2350","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la UPC según lo descrito en el artículo 46 la Resolución 2808 de 2022. RADIOFÁRMACOS. En caso contrario y como tecnología no financiada con cargo a la UPC se considera incluido en la atención y no se prescriben vía MIPRES","1141","radio ra 223 cloruro","incluye todas las concentraciones y formas farmacéuticas","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11817","G03XC","RALOXIFENO","910","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC G03XC - moduladores selectivos del receptor de estrogéno.","1084","raloxifeno","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11818","J05AX08","RALTEGRAVIR","2160","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","852","raltegravir","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11819","C09AA","RAMIPRIL","1160","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC C09AA - inhibidores de la ECA, monofármacos","1080","ramipril","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11820","L01XC21","RAMUCIRUMAB","1560","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","853","ramucirumab","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11821","S01LA04","RANIBIZUMAB","3420","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","855","ranibizumab","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11822","A02BA","RANITIDINA","1700","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC A02BA - antagonistas del receptor H2","1056","ranitidina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11823","A02BA02","RANITIDINA + SODIO CLORURO","6840","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","ranitidina + sodio cloruro","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11824","C01EB18","RANOLAZINA","3440","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","ranolazina","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"11825","N04BD02","RASAGILINA","2460","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","856","rasagilina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11826","V03AF07","RASBURICASA","2080","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","857","rasburicasa","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11827","L01EX05","REGORAFENIB","2630","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","regorafenib","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"11828","N01AH06","REMIFENTANILO","4650","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la UPC según lo descrito en el artículo 27 la Resolución 2808 de 2022. ANALGESIA, ANESTESIA Y SEDACIÓN. En caso contrario y como tecnología no financiada con cargo a la UPC se considera incluido en la atención y no se prescriben vía MIPRES","1139","remifentanilo","incluye todas las concentraciones y formas farmacéuticas","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11829","B01AD07","RETEPLASA","670","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","858","reteplasa","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11830","D10AD02 / L01XF01","RETINOICO ÁCIDO (TRETINOÍNA)","9300","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la UPC todos los principios activos pertenecientes al subgrupo de referencia ATC L01XF - Retinoides para el tratamiento del cáncer","859 / 1114","retinoico ácido (tretinoína)","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11831","D11AX11","RETINÓICO ÁCIDO (TRETINOINA) + FLUOCINOLONA ACETONIDO + HIDROQUINONA","13470","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","861","retinóico ácido (tretinoina) + fluocinolona acetonido + hidroquinona","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
