"Id","CodigoATC","PrincipioActivo","RankingBusqueda","Resumen","FormaFarmaceutica","Aclaracion","ITEM","PrincipioActivo_Min","FormaFarmaceutica_Min","CoberturaPlanBeneficiosUPC","CoberturaPlanBeneficiosUPC_Min"
"10457","G04BE10","AVANAFIL","630","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","100","avanafil","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10458","L01XC31","AVELUMAB","1540","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","101","avelumab","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10244","J05AF06","ABACAVIR","1660","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","1","abacavir","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10245","J05AR13","ABACAVIR + DOLUTEGRAVIR + LAMIVUDINA","5670","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","592","abacavir + dolutegravir + lamivudina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10246","J05AR02","ABACAVIR + LAMIVUDINA","3150","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","591","abacavir + lamivudina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10247","J05AR04","ABACAVIR + LAMIVUDINA + ZIDOVUDINA","3790","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","2","abacavir + lamivudina + zidovudina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10248","L04AA24","ABATACEPT","2000","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","3","abatacept","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10249","L01EF03","ABEMACICLIB","3380","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","abemaciclib","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10250","L02BX03","ABIRATERONA","4270","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se financian con recursos de la upc todos los principios activos pertenecientes al subgrupo de referencia ATC L02BX - Otros antagonistas hormonales y agentes relacionados","1123","abiraterona","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10251","L01EL02","ACALABRUTINIB","1170","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acalabrutinib","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10252","A10BF01","ACARBOSA","1450","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acarbosa","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10253","M01AB16","ACECLOFENACO","1230","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","4","aceclofenaco","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10254","A06AB05","ACEITE DE RICINO","1920","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","5","aceite de ricino","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10255","A03AX13","ACEITE VEGETAL + SIMETICONA","11450","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","6","aceite vegetal + simeticona","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10256","M01AB11","ACEMETACINA","1890","Incluye todas las concentraciones y formas farmacéuticas salvo: formas farmacéuticas de liberación modificada","Incluye todas las concentraciones y formas farmacéuticas salvo: formas farmacéuticas de liberación modificada","Sin dato","7","acemetacina","incluye todas las concentraciones y formas farmacéuticas salvo: formas farmacéuticas de liberación modificada","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10257","M01AB11","ACEMETACINA","1890","Formas farmacéuticas de liberación modificada","Formas farmacéuticas de liberación modificada","Se prescribe vía: MIPRES","N/A","acemetacina","formas farmacéuticas de liberación modificada","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10258","N02BE01","ACETAMINOFÉN","74000","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","8","acetaminofén","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10259","N02BE51","ACETAMINOFÉN + ACETÍL SALICÍLICO ÁCIDO + CAFEÍNA","101500","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","9","acetaminofén + acetíl salicílico ácido + cafeína","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10260","N02BE51","ACETAMINOFÉN + CAFEÍNA","90210","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","10","acetaminofén + cafeína","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10261","N02BE51","ACETAMINOFÉN + CAFEÍNA + FENILEFRINA + CETIRIZINA","102620","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + cafeína + fenilefrina + cetirizina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10262","N02BE51","ACETAMINOFÉN + CAFEÍNA + FENILEFRINA + CLORFENIRAMINA","95280","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + cafeína + fenilefrina + clorfeniramina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10263","N02BE51","ACETAMINOFÉN + CAFEÍNA + FENILEFRINA + DESLORATADINA","102780","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + cafeína + fenilefrina + desloratadina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10264","N02BE51","ACETAMINOFÉN + CLORFENIRAMINA","80040","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + clorfeniramina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10265","N02BE51","ACETAMINOFÉN + CLORFENIRAMINA + CAFEÍNA","91620","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + clorfeniramina + cafeína","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10266","N02AJ06","ACETAMINOFÉN + CODEINA","126020","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES. Tecnología excluida de la financiación con recursos públicos asignados a salud para dolor neuropático en los diagnósticos CIE 10 relacionados en la Resolución 2273/2021","N/A","acetaminofén + codeina","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10267","N02BE51","ACETAMINOFÉN + DESLORATADINA + FENILEFRINA","91040","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + desloratadina + fenilefrina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10268","N02BE51","ACETAMINOFÉN + DEXCLORFENIRAMINA","80210","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + dexclorfeniramina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10269","N02BE51","ACETAMINOFÉN + DEXIBUPROFENO + CAFEÍNA","102030","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la UPC por artículo 35 de la Resolución 2808 de 2022. Parágrafo 1. ESTEREOISÓMEROS","1136","acetaminofén + dexibuprofeno + cafeína","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10270","N02BE51","ACETAMINOFÉN + DEXTROMETORFANO + DOXILAMINA + FENILEFRINA","86950","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acetaminofén + dextrometorfano + doxilamina + fenilefrina","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10271","N02BE51","ACETAMINOFÉN + DEXTROMETORFANO + FENILEFRINA","85240","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + dextrometorfano + fenilefrina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10272","N02BE51","ACETAMINOFÉN + DEXTROMETORFANO + FENILEFRINA + CLORFENIRAMINA","86660","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + dextrometorfano + fenilefrina + clorfeniramina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10273","N02BE51","ACETAMINOFÉN + DEXTROMETORFANO + FENILEFRINA + LEVOCETIRIZINA","97930","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + dextrometorfano + fenilefrina + levocetirizina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10274","N02BE51","ACETAMINOFÉN + DIFENHIDRAMINA","80160","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + difenhidramina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10275","N02BE51","ACETAMINOFÉN + DIFENHIDRAMINA + DEXTROMETORFANO + FENILEFRINA","86890","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + difenhidramina + dextrometorfano + fenilefrina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10276","N02BE51","ACETAMINOFÉN + DIFENHIDRAMINA + FENILEFRINA","83610","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + difenhidramina + fenilefrina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10277","N02BE51","ACETAMINOFÉN + FENILEFRINA","81940","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + fenilefrina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10278","N02BE51","ACETAMINOFÉN + FENILEFRINA + CETIRIZINA","90710","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + fenilefrina + cetirizina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10279","N02BE51","ACETAMINOFÉN + FENILEFRINA + CLORFENIRAMINA","83370","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + fenilefrina + clorfeniramina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10280","N02BE51","ACETAMINOFÉN + FENILEFRINA + LEVOCETIRICINA","84620","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + fenilefrina + levocetiricina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10281","N02BE71","ACETAMINOFÉN + HIDROCODONA","118590","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES. Tecnología excluida de la financiación con recursos públicos asignados a salud para dolor neuropático en los diagnósticos CIE 10 relacionados en la Resolución 2273/2021","N/A","acetaminofén + hidrocodona","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10282","N02BE51","ACETAMINOFÉN + HIOSCINA N-BUTIL BROMURO","84800","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","11","acetaminofén + hioscina n-butil bromuro","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10283","N02BE51","ACETAMINOFÉN + IBUPROFENO + CAFEÍNA","99480","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","12","acetaminofén + ibuprofeno + cafeína","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10329","S01GX11","ALCAFTADINA","1800","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","40","alcaftadina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10284","N02BE51","ACETAMINOFÉN + LORATADINA + FENILEFRINA","83730","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetaminofén + loratadina + fenilefrina","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10285","N02BE51","ACETAMINOFÉN + METOCARBAMOL","82010","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","13","acetaminofén + metocarbamol","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10286","N02BE51","ACETAMINOFÉN + NAPROXENO","83980","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","14","acetaminofén + naproxeno","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10287","N02BE51","ACETAMINOFÉN + NAPROXENO + CAFEÍNA","95990","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","15","acetaminofén + naproxeno + cafeína","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10288","N02AJ17","ACETAMINOFÉN + OXICODONA","84480","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","16","acetaminofén + oxicodona","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10289","N02BE51","ACETAMINOFÉN + TIOCOLCHICOSIDO","84150","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","17","acetaminofén + tiocolchicosido","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10290","N02BE51","ACETAMINOFÉN + TIZANIDINA","91040","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","18","acetaminofén + tizanidina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10291","N02AJ13","ACETAMINOFÉN + TRAMADOL","93260","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","19","acetaminofén + tramadol","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10292","S01EC01","ACETAZOLAMIDA","3240","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","20","acetazolamida","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10293","G01AD02","ACÉTICO ÁCIDO","5270","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acético ácido","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10294","B01AC06 / N02BA01","ACETÍL SALICÍLICO ÁCIDO","11340","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","24","acetíl salicílico ácido","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"10295","N02BA51","ACETÍL SALICÍLICO ÁCIDO + CAFEÍNA","23520","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiado con recursos de la UPC si cumple lo descrito en el artículo 38 la Resolución 2808 de 2022. COMBINACIONES A DOSIS FIJAS. En caso contrario se prescribe vía: MIPRES","1139","acetíl salicílico ácido + cafeína","incluye todas las concentraciones en las formas farmacéuticas que señala el criterio de financiación.","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"10296","A02AH99","ACETÍL SALICÍLICO ÁCIDO + CÍTRICO ÁCIDO + SODIO BICARBONATO","19700","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acetíl salicílico ácido + cítrico ácido + sodio bicarbonato","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10297","A02AH99","ACETÍL SALICÍLICO ÁCIDO + CÍTRICO ÁCIDO + SODIO BICARBONATO + CAFEÍNA","31560","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","acetíl salicílico ácido + cítrico ácido + sodio bicarbonato + cafeína","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"10298","B01AC04 / B01AC30","ACETÍL SALICÍLICO ÁCIDO + CLOPIDOGREL","14540","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","25","acetíl salicílico ácido + clopidogrel","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
